subject,timestamp,marker,pupil_left,validity_left,pupil_right,validity_right,trial,time,event,pupil_left_old,pupil_right_old
42,1464956760659622,41,2.9557,0,3.02269,0,14,1567.2659999999996,answer,2.9557,3.02269
42,1464956760676246,41,2.99451,0,3.04854,0,14,1583.8899999999994,answer,2.99451,3.04854
42,1464956760692870,41,2.95491,0,3.05121,0,14,1600.5139999999992,answer,2.95491,3.05121
42,1464956760709619,41,2.97968,0,3.07379,0,14,1617.262999999999,answer,2.97968,3.07379
42,1464956760726244,41,2.98764,0,3.04738,0,14,1633.887999999999,answer,2.98764,3.04738
42,1464956760742867,41,2.979,0,3.0127100000000002,0,14,1650.5110000000004,answer,2.979,3.0127100000000002
42,1464956760759492,41,2.98419,0,3.04579,0,14,1667.1360000000004,answer,2.98419,3.04579
42,1464956760776116,41,2.97742,0,3.0947,0,14,1683.7600000000002,answer,2.97742,3.0947
42,1464956760792865,41,2.98633,0,3.05716,0,14,1700.509,answer,2.98633,3.05716
42,1464956760809489,41,2.97841,0,3.03299,0,14,1717.1329999999998,answer,2.97841,3.03299
42,1464956760826110,41,2.99158,0,3.02946,0,14,1733.753999999999,answer,2.99158,3.02946
42,1464956760842741,41,2.99936,0,3.02776,0,14,1750.3850000000002,answer,2.99936,3.02776
42,1464956760859484,41,2.9975,0,3.0183,0,14,1767.1280000000006,answer,2.9975,3.0183
42,1464956760876114,41,3.01216,0,3.03389,0,14,1783.7579999999998,answer,3.01216,3.03389
42,1464956760892737,41,2.99445,0,3.04977,0,14,1800.3809999999994,answer,2.99445,3.04977
42,1464956760909356,41,2.97516,0,3.0847,0,14,1817,answer,2.97516,3.0847
42,1464956760925992,41,2.98195,0,3.0567,0,14,1833.6360000000004,answer,2.98195,3.0567
42,1464956760942730,41,3.01222,0,3.05072,0,14,1850.3739999999998,answer,3.01222,3.05072
